customer_id,signup_date,region,signup_channel,age,gender
CUST-000001,2024-09-24,North,organic,43,Male
CUST-000002,2021-08-01,South,referral,75,Male
CUST-000003,2026-07-12,South,organic,52,Female
CUST-000004,2024-01-06,Central,referral,58,Male
CUST-000005,2021-10-25,Central,paid_search,33,Female
CUST-000006,2020-11-19,North,paid_search,79,Male
CUST-000007,2025-02-18,Central,social,33,Female
CUST-000008,2022-10-06,East,partner,23,Female
CUST-000009,2025-08-03,South,referral,47,Male
CUST-000010,2026-01-01,East,social,70,Female
CUST-000011,2024-08-15,East,organic,75,Female
CUST-000012,2021-05-14,North,partner,71,Female
CUST-000013,2022-07-16,Central,organic,54,Male
CUST-000014,2023-09-25,North,paid_search,75,Male
CUST-000015,2025-01-10,North,organic,50,Female
CUST-000016,2025-10-26,South,referral,49,Female
CUST-000017,2025-02-04,North,partner,32,Male
CUST-000018,2025-09-24,North,partner,67,Male
CUST-000019,2025-08-14,South,referral,40,Male
CUST-000020,2022-07-08,South,social,33,Female
CUST-000021,2025-12-11,North,paid_search,43,Female
CUST-000022,2026-06-04,Central,organic,56,Female
CUST-000023,2023-06-01,Central,organic,37,Male
CUST-000024,2025-01-11,West,organic,42,Male
CUST-000025,2023-11-27,East,referral,41,Male
CUST-000026,2025-10-19,Central,referral,56,Female
CUST-000027,2025-06-16,South,social,63,Male
CUST-000028,2024-01-14,East,organic,61,Male
CUST-000029,2022-06-19,North,paid_search,30,Male
CUST-000030,2024-02-27,West,social,42,Male
CUST-000031,2023-05-21,North,organic,59,Female
CUST-000032,2023-06-27,West,referral,34,Female
CUST-000033,2025-01-25,West,organic,26,Female
CUST-000034,2025-01-12,South,referral,40,Female
CUST-000035,2024-02-01,West,social,61,Male
CUST-000036,2026-07-08,South,paid_search,60,Male
CUST-000037,2022-06-22,South,paid_search,29,Male
CUST-000038,2023-01-15,East,referral,61,Female
CUST-000039,2024-11-16,South,partner,33,Female
CUST-000040,2024-06-01,West,social,64,Male
CUST-000041,2024-09-17,South,organic,54,Female
CUST-000042,2022-09-18,East,referral,29,Female
CUST-000043,2022-01-29,Central,partner,42,Male
CUST-000044,2026-02-03,South,organic,69,Female
CUST-000045,2024-03-09,East,social,47,Female
CUST-000046,2026-07-19,Central,paid_search,61,Male
CUST-000047,2023-12-12,South,referral,65,Male
CUST-000048,2025-03-15,North,social,23,Female
CUST-000049,2024-09-01,South,partner,76,Female
CUST-000050,2023-12-06,Central,social,41,Female
CUST-000051,2024-10-02,West,partner,68,Male
CUST-000052,2024-04-20,Central,paid_search,49,Female
CUST-000053,2022-02-07,South,partner,55,Female
CUST-000054,2021-09-21,Central,partner,42,Male
CUST-000055,2026-09-10,South,paid_search,71,Female
CUST-000056,2024-06-08,West,organic,28,Male
CUST-000057,2021-08-17,Central,partner,73,Male
CUST-000058,2023-06-28,South,referral,34,Female
CUST-000059,2025-06-22,Central,partner,73,Male
CUST-000060,2023-01-21,West,organic,23,Female
CUST-000061,2025-11-11,West,referral,22,Female
CUST-000062,2026-07-25,West,social,27,Female
CUST-000063,2022-11-12,North,social,53,Female
CUST-000064,2023-07-30,West,social,37,Female
CUST-000065,2022-01-25,South,paid_search,56,Female
CUST-000066,2024-08-12,South,organic,69,Female
CUST-000067,2021-07-14,North,referral,23,Female
CUST-000068,2024-03-15,North,referral,52,Male
CUST-000069,2022-03-27,Central,paid_search,64,Male
CUST-000070,2026-01-28,South,organic,46,Male
CUST-000071,2026-02-12,South,organic,75,Female
CUST-000072,2021-12-01,East,paid_search,60,Female
CUST-000073,2021-08-24,West,partner,24,Female
CUST-000074,2021-01-09,East,organic,53,Male
CUST-000075,2024-09-28,East,organic,44,Male
CUST-000076,2026-08-09,Central,paid_search,29,Male
CUST-000077,2020-10-09,East,social,77,Female
CUST-000078,2023-02-05,West,social,34,Female
CUST-000079,2025-03-08,Central,referral,26,Male
CUST-000080,2022-02-01,West,organic,34,Female
CUST-000081,2021-04-11,North,organic,69,Male
CUST-000082,2025-01-05,South,social,56,Female
CUST-000083,2021-12-29,West,referral,69,Female
CUST-000084,2021-12-05,East,organic,48,Male
CUST-000085,2023-08-29,South,social,28,Female
CUST-000086,2022-11-13,South,referral,44,Female
CUST-000087,2025-02-11,North,paid_search,33,Female
CUST-000088,2021-01-21,South,referral,54,Male
CUST-000089,2020-10-03,West,paid_search,37,Male
CUST-000090,2020-09-28,North,social,78,Male
CUST-000091,2022-03-26,Central,partner,43,Male
CUST-000092,2026-06-13,South,organic,40,Female
CUST-000093,2024-06-18,Central,partner,79,Female
CUST-000094,2024-01-04,South,organic,52,Female
CUST-000095,2020-10-21,Central,referral,31,Male
CUST-000096,2023-06-05,East,partner,49,Female
CUST-000097,2023-06-05,Central,organic,36,Female
CUST-000098,2025-10-29,North,partner,63,Female
CUST-000099,2021-12-11,West,paid_search,55,Female
CUST-000100,2024-08-29,South,partner,64,Female
CUST-000101,2026-02-17,South,referral,76,Male
CUST-000102,2020-08-28,North,organic,64,Male
CUST-000103,2025-08-15,Central,partner,41,Female
CUST-000104,2026-07-28,West,paid_search,33,Male
CUST-000105,2026-04-16,Central,social,52,Male
CUST-000106,2023-12-14,East,social,48,Female
CUST-000107,2026-02-07,North,organic,40,Male
CUST-000108,2021-08-08,South,partner,69,Female
CUST-000109,2023-08-17,East,paid_search,74,Male
CUST-000110,2024-10-16,North,partner,44,Male
CUST-000111,2026-08-24,Central,referral,61,Male
CUST-000112,2023-10-04,Central,paid_search,79,Male
CUST-000113,2025-10-12,East,partner,22,Male
CUST-000114,2020-10-04,East,paid_search,43,Male
CUST-000115,2024-11-26,West,social,64,Female
CUST-000116,2023-10-26,West,social,50,Male
CUST-000117,2026-08-09,North,organic,67,Male
CUST-000118,2025-12-12,East,partner,49,Female
CUST-000119,2025-05-20,West,social,25,Male
CUST-000120,2026-05-30,Central,organic,47,Male
CUST-000121,2022-04-19,East,partner,45,Male
CUST-000122,2020-12-07,Central,social,71,Male
CUST-000123,2020-10-13,East,paid_search,30,Female
CUST-000124,2025-02-04,South,referral,31,Female
CUST-000125,2021-12-07,East,partner,30,Male
CUST-000126,2023-08-27,West,paid_search,54,Female
CUST-000127,2026-05-27,Central,paid_search,79,Male
CUST-000128,2026-03-16,South,paid_search,57,Male
CUST-000129,2023-05-31,South,paid_search,69,Male
CUST-000130,2024-03-07,West,partner,71,Male
CUST-000131,2026-08-29,West,paid_search,56,Male
CUST-000132,2021-02-04,South,paid_search,57,Male
CUST-000133,2022-04-01,West,social,36,Female
CUST-000134,2023-08-27,North,referral,77,Male
CUST-000135,2020-09-08,South,social,67,Male
CUST-000136,2020-11-11,Central,partner,72,Male
CUST-000137,2020-09-25,East,social,79,Male
