customer_id,plan_type,contract_type,billing_cycle,payment_method,monthly_charge,tenure_months,status,start_date,end_date
CUST-000001,Standard,One year,Annual,Credit card,102.92,23,active,2024-09-24,
CUST-000002,Basic,Month-to-month,Monthly,Bank transfer,79.41,61,active,2021-08-01,
CUST-000003,Pro,Two year,Annual,Electronic check,44.49,2,active,2026-07-12,
CUST-000004,Standard,One year,Annual,Electronic check,94.57,32,active,2024-01-06,
CUST-000005,Basic,Month-to-month,Monthly,Electronic check,28.45,58,active,2021-10-25,
CUST-000006,Pro,Two year,Annual,Mailed check,97.44,69,active,2020-11-19,
CUST-000007,Standard,One year,Annual,Bank transfer,79.0,18,active,2025-02-18,
CUST-000008,Standard,One year,Annual,Credit card,31.08,47,active,2022-10-06,
CUST-000009,Basic,Month-to-month,Monthly,Mailed check,27.95,13,cancelled,2025-08-03,2026-08-17
CUST-000010,Basic,Month-to-month,Monthly,Electronic check,95.08,8,cancelled,2026-01-01,2026-09-01
CUST-000011,Basic,Month-to-month,Monthly,Electronic check,49.29,25,cancelled,2024-08-15,2026-07-30
CUST-000012,Pro,Two year,Annual,Mailed check,108.93,64,active,2021-05-14,
CUST-000013,Standard,One year,Annual,Mailed check,96.21,50,active,2022-07-16,
CUST-000014,Pro,Two year,Annual,Bank transfer,89.82,35,active,2023-09-25,
CUST-000015,Basic,Month-to-month,Monthly,Electronic check,47.86,20,active,2025-01-10,
CUST-000016,Basic,Month-to-month,Monthly,Electronic check,90.89,10,cancelled,2025-10-26,2026-09-14
CUST-000017,Standard,One year,Annual,Bank transfer,114.81,19,active,2025-02-04,
CUST-000018,Basic,Month-to-month,Monthly,Mailed check,29.16,11,cancelled,2025-09-24,2026-09-04
CUST-000019,Pro,Two year,Annual,Mailed check,52.62,13,active,2025-08-14,
CUST-000020,Standard,One year,Annual,Electronic check,43.47,50,active,2022-07-08,
CUST-000021,Standard,One year,Annual,Electronic check,59.33,9,active,2025-12-11,
CUST-000022,Basic,Month-to-month,Monthly,Mailed check,94.23,3,active,2026-06-04,
CUST-000023,Pro,Two year,Annual,Mailed check,67.42,39,active,2023-06-01,
CUST-000024,Pro,Two year,Annual,Credit card,77.07,20,active,2025-01-11,
CUST-000025,Standard,One year,Annual,Credit card,51.42,33,active,2023-11-27,
CUST-000026,Basic,Month-to-month,Monthly,Mailed check,34.13,10,cancelled,2025-10-19,2026-08-13
CUST-000027,Basic,Month-to-month,Monthly,Mailed check,46.69,15,cancelled,2025-06-16,2026-07-28
CUST-000028,Basic,Month-to-month,Monthly,Mailed check,105.97,32,cancelled,2024-01-14,2026-08-23
CUST-000029,Basic,Month-to-month,Monthly,Bank transfer,80.24,50,active,2022-06-19,
CUST-000030,Standard,One year,Annual,Mailed check,57.8,30,active,2024-02-27,
CUST-000031,Standard,One year,Annual,Credit card,98.99,39,active,2023-05-21,
CUST-000032,Pro,Two year,Annual,Credit card,26.45,38,active,2023-06-27,
CUST-000033,Basic,Month-to-month,Monthly,Mailed check,45.39,19,cancelled,2025-01-25,2026-09-11
CUST-000034,Basic,Month-to-month,Monthly,Electronic check,43.01,20,cancelled,2025-01-12,2026-08-14
CUST-000035,Basic,Month-to-month,Monthly,Electronic check,118.54,31,active,2024-02-01,
CUST-000036,Basic,Month-to-month,Monthly,Credit card,90.61,2,cancelled,2026-07-08,2026-08-31
CUST-000037,Basic,Month-to-month,Monthly,Mailed check,81.78,50,active,2022-06-22,
CUST-000038,Basic,Month-to-month,Monthly,Mailed check,20.5,44,active,2023-01-15,
CUST-000039,Basic,Month-to-month,Monthly,Bank transfer,38.43,22,active,2024-11-16,
CUST-000040,Standard,One year,Annual,Credit card,83.55,27,active,2024-06-01,
CUST-000041,Basic,Month-to-month,Monthly,Mailed check,57.97,23,cancelled,2024-09-17,2026-08-29
CUST-000042,Pro,Two year,Annual,Mailed check,112.43,47,active,2022-09-18,
CUST-000043,Standard,One year,Annual,Credit card,96.47,55,active,2022-01-29,
CUST-000044,Basic,Month-to-month,Monthly,Electronic check,64.74,7,cancelled,2026-02-03,2026-07-23
CUST-000045,Pro,Two year,Annual,Credit card,94.95,30,active,2024-03-09,
CUST-000046,Pro,Two year,Annual,Bank transfer,117.54,1,active,2026-07-19,
CUST-000047,Basic,Month-to-month,Monthly,Electronic check,66.1,33,cancelled,2023-12-12,2026-07-22
CUST-000048,Basic,Month-to-month,Monthly,Electronic check,84.25,18,cancelled,2025-03-15,2026-08-31
CUST-000049,Standard,One year,Annual,Bank transfer,111.87,24,active,2024-09-01,
CUST-000050,Basic,Month-to-month,Monthly,Credit card,44.87,33,cancelled,2023-12-06,2026-08-12
CUST-000051,Basic,Month-to-month,Monthly,Electronic check,108.66,23,cancelled,2024-10-02,2026-08-15
CUST-000052,Basic,Month-to-month,Monthly,Bank transfer,29.75,28,cancelled,2024-04-20,2026-07-21
CUST-000053,Standard,One year,Annual,Credit card,84.84,55,active,2022-02-07,
CUST-000054,Standard,One year,Annual,Bank transfer,98.28,59,active,2021-09-21,
CUST-000055,Standard,One year,Annual,Bank transfer,81.46,0,active,2026-09-10,
CUST-000056,Standard,One year,Annual,Electronic check,69.55,27,active,2024-06-08,
CUST-000057,Basic,Month-to-month,Monthly,Bank transfer,81.73,61,active,2021-08-17,
CUST-000058,Standard,One year,Annual,Bank transfer,35.17,38,active,2023-06-28,
CUST-000059,Basic,Month-to-month,Monthly,Electronic check,41.56,14,active,2025-06-22,
CUST-000060,Basic,Month-to-month,Monthly,Mailed check,46.99,43,cancelled,2023-01-21,2026-07-22
CUST-000061,Standard,One year,Annual,Credit card,79.78,10,active,2025-11-11,
CUST-000062,Basic,Month-to-month,Monthly,Credit card,64.19,1,cancelled,2026-07-25,2026-08-26
CUST-000063,Standard,One year,Annual,Electronic check,44.45,46,active,2022-11-12,
CUST-000064,Standard,One year,Annual,Bank transfer,108.28,37,active,2023-07-30,
CUST-000065,Standard,One year,Annual,Bank transfer,57.39,55,active,2022-01-25,
CUST-000066,Standard,One year,Annual,Bank transfer,64.6,25,active,2024-08-12,
CUST-000067,Standard,One year,Annual,Bank transfer,60.97,62,active,2021-07-14,
CUST-000068,Basic,Month-to-month,Monthly,Credit card,38.19,30,cancelled,2024-03-15,2026-09-14
CUST-000069,Basic,Month-to-month,Monthly,Mailed check,93.16,53,cancelled,2022-03-27,2026-09-15
CUST-000070,Basic,Month-to-month,Monthly,Bank transfer,64.85,7,cancelled,2026-01-28,2026-09-15
CUST-000071,Basic,Month-to-month,Monthly,Bank transfer,21.63,7,cancelled,2026-02-12,2026-07-31
CUST-000072,Basic,Month-to-month,Monthly,Bank transfer,116.4,57,cancelled,2021-12-01,2026-08-03
CUST-000073,Pro,Two year,Annual,Credit card,101.58,60,active,2021-08-24,
CUST-000074,Basic,Month-to-month,Monthly,Electronic check,92.36,68,active,2021-01-09,
CUST-000075,Basic,Month-to-month,Monthly,Credit card,106.91,23,active,2024-09-28,
CUST-000076,Basic,Month-to-month,Monthly,Bank transfer,110.68,1,cancelled,2026-08-09,2026-07-29
CUST-000077,Basic,Month-to-month,Monthly,Credit card,53.75,71,cancelled,2020-10-09,2026-09-07
CUST-000078,Standard,One year,Annual,Mailed check,81.1,43,active,2023-02-05,
CUST-000079,Standard,One year,Annual,Mailed check,80.88,18,active,2025-03-08,
CUST-000080,Standard,One year,Annual,Electronic check,46.73,55,active,2022-02-01,
CUST-000081,Standard,One year,Annual,Credit card,42.2,65,active,2021-04-11,
CUST-000082,Basic,Month-to-month,Monthly,Credit card,31.39,20,active,2025-01-05,
CUST-000083,Pro,Two year,Annual,Mailed check,85.93,56,active,2021-12-29,
CUST-000084,Basic,Month-to-month,Monthly,Electronic check,98.09,57,active,2021-12-05,
CUST-000085,Basic,Month-to-month,Monthly,Bank transfer,96.1,36,active,2023-08-29,
CUST-000086,Basic,Month-to-month,Monthly,Bank transfer,51.63,46,active,2022-11-13,
CUST-000087,Standard,One year,Annual,Bank transfer,40.53,19,active,2025-02-11,
CUST-000088,Basic,Month-to-month,Monthly,Electronic check,65.36,67,active,2021-01-21,
CUST-000089,Basic,Month-to-month,Monthly,Credit card,74.68,71,active,2020-10-03,
CUST-000090,Basic,Month-to-month,Monthly,Mailed check,111.91,71,active,2020-09-28,
CUST-000091,Basic,Month-to-month,Monthly,Bank transfer,107.48,53,cancelled,2022-03-26,2026-09-12
CUST-000092,Standard,One year,Annual,Credit card,111.61,3,active,2026-06-13,
CUST-000093,Basic,Month-to-month,Monthly,Bank transfer,105.03,26,active,2024-06-18,
