customer_id,log_month,session_count,avg_session_minutes,feature_adoption_score,last_active_date
CUST-000001,2026-03-01,11,6.43,0.637,2026-03-12
CUST-000001,2026-04-01,11,10.69,0.646,2026-04-07
CUST-000001,2026-05-01,10,18.06,0.712,2026-05-27
CUST-000001,2026-06-01,10,9.11,0.805,2026-06-04
CUST-000001,2026-07-01,8,13.23,0.669,2026-07-25
CUST-000001,2026-08-01,12,18.58,0.677,2026-08-23
CUST-000002,2026-03-01,25,42.85,0.712,2026-03-08
CUST-000002,2026-04-01,22,39.19,0.643,2026-04-03
CUST-000002,2026-05-01,18,43.29,0.666,2026-05-25
CUST-000002,2026-06-01,18,41.01,0.66,2026-06-11
CUST-000002,2026-07-01,21,38.48,0.686,2026-07-18
CUST-000002,2026-08-01,18,39.82,0.713,2026-08-25
CUST-000003,2026-03-01,12,23.61,0.444,2026-03-27
CUST-000003,2026-04-01,11,26.96,0.486,2026-04-23
CUST-000003,2026-05-01,17,25.45,0.426,2026-05-03
CUST-000003,2026-06-01,8,21.7,0.408,2026-06-17
CUST-000003,2026-07-01,12,25.54,0.442,2026-07-11
CUST-000003,2026-08-01,15,28.12,0.409,2026-08-06
CUST-000004,2026-03-01,7,20.2,0.755,2026-03-22
CUST-000004,2026-04-01,13,19.61,0.754,2026-04-22
CUST-000004,2026-05-01,10,23.98,0.815,2026-05-13
CUST-000004,2026-06-01,15,24.3,0.705,2026-06-26
CUST-000004,2026-07-01,9,21.37,0.729,2026-07-19
CUST-000004,2026-08-01,13,20.81,0.741,2026-08-04
CUST-000005,2026-03-01,14,45.82,0.37,2026-03-05
CUST-000005,2026-04-01,10,44.24,0.364,2026-04-10
CUST-000005,2026-05-01,10,50.07,0.397,2026-05-04
CUST-000005,2026-06-01,13,42.93,0.417,2026-06-14
CUST-000005,2026-07-01,16,39.4,0.399,2026-07-19
CUST-000005,2026-08-01,12,47.09,0.42,2026-08-18
CUST-000006,2026-03-01,20,24.14,0.65,2026-03-22
CUST-000006,2026-04-01,18,24.04,0.628,2026-04-08
CUST-000006,2026-05-01,18,31.05,0.665,2026-05-05
CUST-000006,2026-06-01,15,31.07,0.576,2026-06-22
CUST-000006,2026-07-01,19,25.35,0.603,2026-07-25
CUST-000006,2026-08-01,16,29.42,0.612,2026-08-23
CUST-000007,2026-03-01,20,10.77,0.721,2026-03-10
CUST-000007,2026-04-01,18,11.12,0.646,2026-04-21
