customer_id,signup_date,region,signup_channel,age,gender
7590-VHVEG,2026-07-26,East,partner,54,Female
5575-GNVDE,2023-11-17,South,paid_search,53,Male
3668-QPYBK,2026-07-17,North,referral,26,Male
7795-CFOCW,2022-12-15,Central,social,44,Male
9237-HQITU,2026-07-08,Central,organic,36,Female
9305-CDSKC,2026-01-02,Central,partner,51,Female
1452-KIOVK,2024-11-08,North,social,40,Male
6713-OKOMC,2025-11-11,South,social,58,Female
7892-POOKP,2024-05-08,South,paid_search,37,Female
6388-TABGU,2021-07-03,South,paid_search,47,Male
9763-GRSKD,2025-08-09,East,social,26,Male
7469-LKBCI,2025-04-30,East,referral,56,Male
8091-TTVAX,2021-11-05,East,referral,27,Male
0280-XJGEX,2022-07-20,South,referral,35,Male
5129-JLPIS,2024-07-18,Central,referral,52,Male
3655-SNQYZ,2020-11-27,Central,partner,57,Female
8191-XWSZG,2022-05-02,South,referral,39,Female
9959-WOFKT,2020-10-16,South,paid_search,39,Male
4190-MFLUW,2025-10-29,East,referral,23,Female
4183-MYFRB,2024-12-05,South,partner,58,Female
8779-QRDMV,2026-08-09,Central,social,70,Male
1680-VDCWW,2025-08-24,East,referral,22,Male
1066-JKSGK,2026-08-16,North,partner,39,Male
3638-WEABW,2021-11-09,North,referral,22,Female
6322-HRPFA,2022-07-25,North,partner,28,Male
6865-JZNKO,2024-02-19,South,paid_search,45,Female
6467-CHFZW,2022-10-02,South,referral,48,Male
8665-UTDHZ,2026-08-02,Central,organic,33,Male
5248-YGIJN,2020-08-18,Central,paid_search,51,Male
8773-HHUOZ,2025-04-15,North,partner,44,Female
3841-NFECX,2020-10-02,Central,organic,69,Female
4929-XIHVW,2026-07-11,East,paid_search,64,Male
6827-IEAUQ,2024-06-03,South,partner,43,Female
7310-EGVHZ,2026-07-21,East,social,52,Male
3413-BMNZE,2026-07-31,East,referral,77,Male
6234-RAAPL,2020-08-18,North,referral,30,Female
6047-YHPVI,2026-04-02,Central,referral,33,Male
6572-ADKRS,2022-10-22,North,partner,34,Female
5380-WJKOV,2023-11-12,North,referral,54,Male
8168-UQWWF,2025-10-08,South,organic,49,Female
8865-TNMNX,2025-11-08,North,referral,42,Male
9489-DEDVP,2020-10-24,North,paid_search,41,Female
9867-JCZSP,2025-04-02,South,partner,54,Female
4671-VJLCL,2021-06-11,South,organic,38,Female
4080-IIARD,2025-08-12,North,partner,30,Female
3714-NTNFO,2022-08-06,Central,organic,27,Female
5948-UJZLF,2026-07-14,Central,social,34,Male
7760-OYPDY,2026-06-28,West,partner,46,Female
7639-LIAYI,2022-04-23,East,organic,39,Male
2954-PIBKO,2020-11-17,Central,social,37,Female
8012-SOUDQ,2023-02-09,South,referral,75,Female
9420-LOJKX,2025-06-04,East,partner,58,Female
6575-SUVOI,2024-08-01,North,organic,67,Female
7495-OOKFY,2026-01-02,West,organic,69,Female
4667-QONEA,2021-09-03,North,social,69,Female
1658-BYGOY,2025-03-12,West,referral,60,Male
8769-KKTPH,2021-06-14,West,partner,53,Female
5067-XJQFU,2021-03-05,South,social,63,Male
3957-SQXML,2023-11-15,West,referral,53,Female
5954-BDFSG,2020-09-15,South,paid_search,45,Female
0434-CSFON,2022-10-02,South,social,42,Female
1215-FIGMP,2021-08-22,East,organic,32,Male
0526-SXDJP,2020-08-31,South,referral,34,Male
0557-ASKVU,2025-03-18,West,social,27,Female
5698-BQJOH,2025-11-22,South,paid_search,41,Female
5122-CYFXA,2026-05-28,East,paid_search,32,Female
8627-ZYGSZ,2022-10-08,Central,referral,32,Male
3410-YOQBQ,2024-02-08,South,organic,23,Female
3170-NMYVV,2022-06-21,East,organic,51,Female
7410-OIEDU,2025-11-02,Central,paid_search,56,Male
2273-QCKXA,2026-08-13,South,social,40,Male
0731-EBJQB,2022-05-10,North,paid_search,41,Female
1891-QRQSA,2021-05-10,South,partner,69,Male
8028-PNXHQ,2021-07-05,Central,referral,40,Male
5630-AHZIL,2026-06-07,West,partner,45,Female
2673-CXQEU,2021-12-31,Central,paid_search,69,Female
6416-JNVRK,2022-11-07,South,social,41,Female
5590-ZSKRV,2025-12-28,Central,paid_search,41,Female
0191-ZHSKZ,2024-03-03,South,partner,71,Male
3887-PBQAO,2022-11-19,West,social,44,Female
5919-TMRGD,2026-07-24,Central,referral,40,Female
8108-UXRQN,2025-10-08,South,partner,24,Female
9191-MYQKX,2026-02-14,Central,organic,55,Female
9919-YLNNG,2023-03-01,West,referral,54,Female
0318-ZOPWS,2022-08-07,West,paid_search,28,Female
4445-ZJNMU,2025-11-20,West,social,32,Male
4808-YNLEU,2023-10-05,North,social,58,Female
1862-QRWPE,2022-09-08,West,partner,33,Female
2796-NNUFI,2022-11-06,South,social,52,Female
3016-KSVCP,2024-03-23,South,social,51,Male
4767-HZZHQ,2024-03-14,North,partner,53,Male
2424-WVHPL,2026-07-20,North,referral,76,Male
7233-PAHHL,2021-03-10,Central,paid_search,39,Male
6067-NGCEU,2021-03-23,South,social,42,Female
9848-JQJTX,2020-08-31,South,organic,52,Male
8637-XJIVR,2025-08-30,East,organic,30,Female
9803-FTJCG,2020-10-10,West,social,33,Male
