customer_id,plan_type,contract_type,billing_cycle,payment_method,monthly_charge,tenure_months,status,start_date,end_date
7590-VHVEG,Basic,Month-to-month,Monthly,Electronic check,29.85,1,active,2026-07-26,
5575-GNVDE,Standard,One year,Annual,Mailed check,56.95,34,active,2023-11-17,
3668-QPYBK,Basic,Month-to-month,Monthly,Mailed check,53.85,2,cancelled,2026-07-17,2026-09-08
7795-CFOCW,Standard,One year,Annual,Bank transfer (automatic),42.3,45,active,2022-12-15,
9237-HQITU,Basic,Month-to-month,Monthly,Electronic check,70.7,2,cancelled,2026-07-08,2026-09-08
9305-CDSKC,Basic,Month-to-month,Monthly,Electronic check,99.65,8,cancelled,2026-01-02,2026-08-05
1452-KIOVK,Basic,Month-to-month,Monthly,Credit card (automatic),89.1,22,active,2024-11-08,
6713-OKOMC,Basic,Month-to-month,Monthly,Mailed check,29.75,10,active,2025-11-11,
7892-POOKP,Basic,Month-to-month,Monthly,Electronic check,104.8,28,cancelled,2024-05-08,2026-08-10
6388-TABGU,Standard,One year,Annual,Bank transfer (automatic),56.15,62,active,2021-07-03,
9763-GRSKD,Basic,Month-to-month,Monthly,Mailed check,49.95,13,active,2025-08-09,
7469-LKBCI,Pro,Two year,Annual,Credit card (automatic),18.95,16,active,2025-04-30,
8091-TTVAX,Standard,One year,Annual,Credit card (automatic),100.35,58,active,2021-11-05,
0280-XJGEX,Basic,Month-to-month,Monthly,Bank transfer (automatic),103.7,49,cancelled,2022-07-20,2026-08-22
5129-JLPIS,Basic,Month-to-month,Monthly,Electronic check,105.5,25,active,2024-07-18,
3655-SNQYZ,Pro,Two year,Annual,Credit card (automatic),113.25,69,active,2020-11-27,
8191-XWSZG,Standard,One year,Annual,Mailed check,20.65,52,active,2022-05-02,
9959-WOFKT,Pro,Two year,Annual,Bank transfer (automatic),106.7,71,active,2020-10-16,
4190-MFLUW,Basic,Month-to-month,Monthly,Credit card (automatic),55.2,10,cancelled,2025-10-29,2026-08-23
4183-MYFRB,Basic,Month-to-month,Monthly,Electronic check,90.05,21,active,2024-12-05,
8779-QRDMV,Basic,Month-to-month,Monthly,Electronic check,39.65,1,cancelled,2026-08-09,2026-09-13
1680-VDCWW,Standard,One year,Annual,Bank transfer (automatic),19.8,12,active,2025-08-24,
1066-JKSGK,Basic,Month-to-month,Monthly,Mailed check,20.15,1,cancelled,2026-08-16,2026-09-14
3638-WEABW,Pro,Two year,Annual,Credit card (automatic),59.9,58,active,2021-11-09,
6322-HRPFA,Basic,Month-to-month,Monthly,Credit card (automatic),59.6,49,active,2022-07-25,
6865-JZNKO,Basic,Month-to-month,Monthly,Bank transfer (automatic),55.3,30,active,2024-02-19,
6467-CHFZW,Basic,Month-to-month,Monthly,Electronic check,99.35,47,cancelled,2022-10-02,2026-08-15
8665-UTDHZ,Basic,Month-to-month,Monthly,Electronic check,30.2,1,cancelled,2026-08-02,2026-08-25
5248-YGIJN,Pro,Two year,Annual,Credit card (automatic),90.25,72,active,2020-08-18,
8773-HHUOZ,Basic,Month-to-month,Monthly,Mailed check,64.7,17,cancelled,2025-04-15,2026-09-01
3841-NFECX,Pro,Two year,Annual,Credit card (automatic),96.35,71,active,2020-10-02,
4929-XIHVW,Basic,Month-to-month,Monthly,Credit card (automatic),95.5,2,active,2026-07-11,
6827-IEAUQ,Standard,One year,Annual,Mailed check,66.15,27,active,2024-06-03,
7310-EGVHZ,Basic,Month-to-month,Monthly,Bank transfer (automatic),20.2,1,active,2026-07-21,
3413-BMNZE,Basic,Month-to-month,Monthly,Bank transfer (automatic),45.25,1,active,2026-07-31,
6234-RAAPL,Pro,Two year,Annual,Bank transfer (automatic),99.9,72,active,2020-08-18,
6047-YHPVI,Basic,Month-to-month,Monthly,Electronic check,69.7,5,cancelled,2026-04-02,2026-08-24
6572-ADKRS,Basic,Month-to-month,Monthly,Credit card (automatic),74.8,46,active,2022-10-22,
5380-WJKOV,Basic,Month-to-month,Monthly,Electronic check,106.35,34,cancelled,2023-11-12,2026-08-11
8168-UQWWF,Basic,Month-to-month,Monthly,Bank transfer (automatic),97.85,11,cancelled,2025-10-08,2026-08-29
8865-TNMNX,Standard,One year,Annual,Mailed check,49.55,10,active,2025-11-08,
