transaction_id,customer_id,transaction_date,amount,transaction_type,status,payment_method
1,7590-VHVEG,2026-03-16,29.85,payment,success,Electronic check
2,7590-VHVEG,2026-04-16,29.85,payment,success,Electronic check
3,7590-VHVEG,2026-05-16,29.85,payment,success,Electronic check
4,7590-VHVEG,2026-06-16,29.85,payment,success,Electronic check
5,7590-VHVEG,2026-07-16,29.85,payment,success,Electronic check
6,7590-VHVEG,2026-08-16,29.85,payment,success,Electronic check
7,5575-GNVDE,2026-03-16,56.95,payment,success,Mailed check
8,5575-GNVDE,2026-04-16,56.95,payment,success,Mailed check
9,5575-GNVDE,2026-05-16,56.95,payment,success,Mailed check
10,5575-GNVDE,2026-06-16,56.95,payment,success,Mailed check
11,5575-GNVDE,2026-07-16,56.95,payment,success,Mailed check
12,5575-GNVDE,2026-08-16,56.95,payment,success,Mailed check
13,3668-QPYBK,2026-03-16,53.85,failed_payment,failed,Mailed check
14,3668-QPYBK,2026-03-19,53.85,payment,success,Mailed check
15,3668-QPYBK,2026-04-16,53.85,payment,success,Mailed check
16,3668-QPYBK,2026-05-16,53.85,payment,success,Mailed check
17,3668-QPYBK,2026-06-16,53.85,failed_payment,failed,Mailed check
18,3668-QPYBK,2026-06-19,53.85,payment,success,Mailed check
19,3668-QPYBK,2026-07-16,53.85,payment,success,Mailed check
20,3668-QPYBK,2026-08-16,53.85,failed_payment,failed,Mailed check
21,7795-CFOCW,2026-03-16,42.3,payment,success,Bank transfer (automatic)
22,7795-CFOCW,2026-04-16,42.3,payment,success,Bank transfer (automatic)
23,7795-CFOCW,2026-05-16,42.3,payment,success,Bank transfer (automatic)
24,7795-CFOCW,2026-06-16,42.3,payment,success,Bank transfer (automatic)
25,7795-CFOCW,2026-07-16,42.3,payment,success,Bank transfer (automatic)
26,7795-CFOCW,2026-08-16,42.3,payment,success,Bank transfer (automatic)
27,9237-HQITU,2026-03-16,70.7,payment,success,Electronic check
28,9237-HQITU,2026-04-16,70.7,payment,success,Electronic check
29,9237-HQITU,2026-05-16,70.7,payment,success,Electronic check
30,9237-HQITU,2026-06-16,70.7,payment,success,Electronic check
31,9237-HQITU,2026-07-16,70.7,payment,success,Electronic check
32,9237-HQITU,2026-08-16,70.7,payment,success,Electronic check
33,9305-CDSKC,2026-03-16,99.65,payment,success,Electronic check
34,9305-CDSKC,2026-04-16,99.65,payment,success,Electronic check
35,9305-CDSKC,2026-05-16,99.65,failed_payment,failed,Electronic check
36,9305-CDSKC,2026-05-19,99.65,payment,success,Electronic check
37,9305-CDSKC,2026-06-16,99.65,payment,success,Electronic check
38,9305-CDSKC,2026-07-16,99.65,payment,success,Electronic check
39,9305-CDSKC,2026-08-16,99.65,payment,success,Electronic check
40,1452-KIOVK,2026-03-16,89.1,payment,success,Credit card (automatic)
41,1452-KIOVK,2026-04-16,89.1,payment,success,Credit card (automatic)
42,1452-KIOVK,2026-05-16,89.1,payment,success,Credit card (automatic)
43,1452-KIOVK,2026-06-16,89.1,payment,success,Credit card (automatic)
44,1452-KIOVK,2026-07-16,89.1,payment,success,Credit card (automatic)
45,1452-KIOVK,2026-08-16,89.1,payment,success,Credit card (automatic)
46,6713-OKOMC,2026-03-16,29.75,payment,success,Mailed check
47,6713-OKOMC,2026-04-16,29.75,payment,success,Mailed check
48,6713-OKOMC,2026-05-16,29.75,payment,success,Mailed check
49,6713-OKOMC,2026-06-16,29.75,payment,success,Mailed check
50,6713-OKOMC,2026-07-16,29.75,payment,success,Mailed check
51,6713-OKOMC,2026-08-16,29.75,payment,success,Mailed check
52,7892-POOKP,2026-03-16,104.8,payment,success,Electronic check
53,7892-POOKP,2026-04-16,104.8,payment,success,Electronic check
54,7892-POOKP,2026-05-16,104.8,failed_payment,failed,Electronic check
55,7892-POOKP,2026-05-19,104.8,payment,success,Electronic check
56,7892-POOKP,2026-06-16,104.8,payment,success,Electronic check
57,7892-POOKP,2026-07-16,104.8,failed_payment,failed,Electronic check
58,7892-POOKP,2026-08-16,104.8,payment,success,Electronic check
59,6388-TABGU,2026-03-16,56.15,payment,success,Bank transfer (automatic)
60,6388-TABGU,2026-04-16,56.15,payment,success,Bank transfer (automatic)
61,6388-TABGU,2026-05-16,56.15,payment,success,Bank transfer (automatic)
62,6388-TABGU,2026-06-16,56.15,payment,success,Bank transfer (automatic)
63,6388-TABGU,2026-07-16,56.15,payment,success,Bank transfer (automatic)
64,6388-TABGU,2026-08-16,56.15,payment,success,Bank transfer (automatic)
65,9763-GRSKD,2026-03-16,49.95,payment,success,Mailed check
66,9763-GRSKD,2026-04-16,49.95,payment,success,Mailed check
67,9763-GRSKD,2026-05-16,49.95,payment,success,Mailed check
68,9763-GRSKD,2026-06-16,49.95,payment,success,Mailed check
69,9763-GRSKD,2026-07-16,49.95,payment,success,Mailed check
70,9763-GRSKD,2026-08-16,49.95,payment,success,Mailed check
71,7469-LKBCI,2026-03-16,18.95,payment,success,Credit card (automatic)
72,7469-LKBCI,2026-04-16,18.95,payment,success,Credit card (automatic)
73,7469-LKBCI,2026-05-16,18.95,payment,success,Credit card (automatic)
74,7469-LKBCI,2026-06-16,18.95,payment,success,Credit card (automatic)
75,7469-LKBCI,2026-07-16,18.95,payment,success,Credit card (automatic)
76,7469-LKBCI,2026-08-16,18.95,payment,success,Credit card (automatic)
77,8091-TTVAX,2026-03-16,100.35,payment,success,Credit card (automatic)
78,8091-TTVAX,2026-04-16,100.35,payment,success,Credit card (automatic)
79,8091-TTVAX,2026-05-16,100.35,failed_payment,failed,Credit card (automatic)
80,8091-TTVAX,2026-05-19,100.35,payment,success,Credit card (automatic)
81,8091-TTVAX,2026-06-16,100.35,payment,success,Credit card (automatic)
82,8091-TTVAX,2026-07-16,100.35,payment,success,Credit card (automatic)
83,8091-TTVAX,2026-08-16,100.35,payment,success,Credit card (automatic)
84,0280-XJGEX,2026-03-16,103.7,payment,success,Bank transfer (automatic)
85,0280-XJGEX,2026-04-16,103.7,payment,success,Bank transfer (automatic)
86,0280-XJGEX,2026-05-16,103.7,payment,success,Bank transfer (automatic)
87,0280-XJGEX,2026-06-16,103.7,payment,success,Bank transfer (automatic)
88,0280-XJGEX,2026-07-16,103.7,payment,success,Bank transfer (automatic)
89,0280-XJGEX,2026-08-16,103.7,payment,success,Bank transfer (automatic)
90,5129-JLPIS,2026-03-16,105.5,payment,success,Electronic check
91,5129-JLPIS,2026-04-16,105.5,payment,success,Electronic check
92,5129-JLPIS,2026-05-16,105.5,payment,success,Electronic check
93,5129-JLPIS,2026-06-16,105.5,payment,success,Electronic check
94,5129-JLPIS,2026-07-16,105.5,payment,success,Electronic check
95,5129-JLPIS,2026-08-16,105.5,payment,success,Electronic check
96,3655-SNQYZ,2026-03-16,113.25,payment,success,Credit card (automatic)
97,3655-SNQYZ,2026-04-16,113.25,payment,success,Credit card (automatic)
98,3655-SNQYZ,2026-05-16,113.25,payment,success,Credit card (automatic)
99,3655-SNQYZ,2026-06-16,113.25,payment,success,Credit card (automatic)
100,3655-SNQYZ,2026-07-16,113.25,payment,success,Credit card (automatic)
101,3655-SNQYZ,2026-08-16,113.25,payment,success,Credit card (automatic)
102,8191-XWSZG,2026-03-16,20.65,payment,success,Mailed check
103,8191-XWSZG,2026-04-16,20.65,payment,success,Mailed check
104,8191-XWSZG,2026-05-16,20.65,payment,success,Mailed check
105,8191-XWSZG,2026-06-16,20.65,payment,success,Mailed check
106,8191-XWSZG,2026-07-16,20.65,payment,success,Mailed check
107,8191-XWSZG,2026-08-16,20.65,payment,success,Mailed check
108,9959-WOFKT,2026-03-16,106.7,payment,success,Bank transfer (automatic)
109,9959-WOFKT,2026-04-16,106.7,payment,success,Bank transfer (automatic)
110,9959-WOFKT,2026-05-16,106.7,payment,success,Bank transfer (automatic)
111,9959-WOFKT,2026-06-16,106.7,payment,success,Bank transfer (automatic)
112,9959-WOFKT,2026-07-16,106.7,payment,success,Bank transfer (automatic)
113,9959-WOFKT,2026-08-16,106.7,payment,success,Bank transfer (automatic)
114,4190-MFLUW,2026-03-16,55.2,payment,success,Credit card (automatic)
115,4190-MFLUW,2026-04-16,55.2,payment,success,Credit card (automatic)
116,4190-MFLUW,2026-05-16,55.2,payment,success,Credit card (automatic)
117,4190-MFLUW,2026-06-16,55.2,payment,success,Credit card (automatic)
118,4190-MFLUW,2026-07-16,55.2,payment,success,Credit card (automatic)
119,4190-MFLUW,2026-08-16,55.2,payment,success,Credit card (automatic)
120,4183-MYFRB,2026-03-16,90.05,payment,success,Electronic check
121,4183-MYFRB,2026-04-16,90.05,payment,success,Electronic check
122,4183-MYFRB,2026-05-16,90.05,payment,success,Electronic check
123,4183-MYFRB,2026-06-16,90.05,payment,success,Electronic check
124,4183-MYFRB,2026-07-16,90.05,payment,success,Electronic check
125,4183-MYFRB,2026-08-16,90.05,payment,success,Electronic check
126,8779-QRDMV,2026-03-16,39.65,payment,success,Electronic check
127,8779-QRDMV,2026-04-16,39.65,payment,success,Electronic check
128,8779-QRDMV,2026-05-16,39.65,failed_payment,failed,Electronic check
129,8779-QRDMV,2026-05-19,39.65,payment,success,Electronic check
130,8779-QRDMV,2026-06-16,39.65,payment,success,Electronic check
131,8779-QRDMV,2026-07-16,39.65,payment,success,Electronic check
132,8779-QRDMV,2026-08-16,39.65,failed_payment,failed,Electronic check
133,1680-VDCWW,2026-03-16,19.8,payment,success,Bank transfer (automatic)
134,1680-VDCWW,2026-04-16,19.8,payment,success,Bank transfer (automatic)
135,1680-VDCWW,2026-05-16,19.8,payment,success,Bank transfer (automatic)
136,1680-VDCWW,2026-06-16,19.8,payment,success,Bank transfer (automatic)
137,1680-VDCWW,2026-07-16,19.8,payment,success,Bank transfer (automatic)
138,1680-VDCWW,2026-08-16,19.8,payment,success,Bank transfer (automatic)
139,1066-JKSGK,2026-03-16,20.15,failed_payment,failed,Mailed check
140,1066-JKSGK,2026-04-16,20.15,payment,success,Mailed check
141,1066-JKSGK,2026-05-16,20.15,payment,success,Mailed check
142,1066-JKSGK,2026-06-16,20.15,payment,success,Mailed check
143,1066-JKSGK,2026-07-16,20.15,failed_payment,failed,Mailed check
144,1066-JKSGK,2026-07-19,20.15,payment,success,Mailed check
145,1066-JKSGK,2026-08-16,20.15,failed_payment,failed,Mailed check
146,1066-JKSGK,2026-08-19,20.15,payment,success,Mailed check
147,3638-WEABW,2026-03-16,59.9,payment,success,Credit card (automatic)
148,3638-WEABW,2026-04-16,59.9,payment,success,Credit card (automatic)
149,3638-WEABW,2026-05-16,59.9,payment,success,Credit card (automatic)
150,3638-WEABW,2026-06-16,59.9,payment,success,Credit card (automatic)
151,3638-WEABW,2026-07-16,59.9,payment,success,Credit card (automatic)
152,3638-WEABW,2026-08-16,59.9,payment,success,Credit card (automatic)
153,6322-HRPFA,2026-03-16,59.6,payment,success,Credit card (automatic)
154,6322-HRPFA,2026-04-16,59.6,payment,success,Credit card (automatic)
155,6322-HRPFA,2026-05-16,59.6,payment,success,Credit card (automatic)
156,6322-HRPFA,2026-06-16,59.6,payment,success,Credit card (automatic)
157,6322-HRPFA,2026-07-16,59.6,payment,success,Credit card (automatic)
158,6322-HRPFA,2026-08-16,59.6,payment,success,Credit card (automatic)
159,6865-JZNKO,2026-03-16,55.3,payment,success,Bank transfer (automatic)
160,6865-JZNKO,2026-04-16,55.3,payment,success,Bank transfer (automatic)
161,6865-JZNKO,2026-05-16,55.3,payment,success,Bank transfer (automatic)
162,6865-JZNKO,2026-06-16,55.3,payment,success,Bank transfer (automatic)
163,6865-JZNKO,2026-07-16,55.3,payment,success,Bank transfer (automatic)
164,6865-JZNKO,2026-08-16,55.3,payment,success,Bank transfer (automatic)
165,6467-CHFZW,2026-03-16,99.35,payment,success,Electronic check
166,6467-CHFZW,2026-04-16,99.35,payment,success,Electronic check
167,6467-CHFZW,2026-05-16,99.35,payment,success,Electronic check
168,6467-CHFZW,2026-06-16,99.35,payment,success,Electronic check
169,6467-CHFZW,2026-07-16,99.35,payment,success,Electronic check
170,6467-CHFZW,2026-08-16,99.35,payment,success,Electronic check
171,8665-UTDHZ,2026-03-16,30.2,payment,success,Electronic check
172,8665-UTDHZ,2026-04-16,30.2,payment,success,Electronic check
173,8665-UTDHZ,2026-05-16,30.2,payment,success,Electronic check
174,8665-UTDHZ,2026-06-16,30.2,payment,success,Electronic check
175,8665-UTDHZ,2026-07-16,30.2,payment,success,Electronic check
176,8665-UTDHZ,2026-08-16,30.2,payment,success,Electronic check
177,5248-YGIJN,2026-03-16,90.25,payment,success,Credit card (automatic)
178,5248-YGIJN,2026-04-16,90.25,payment,success,Credit card (automatic)
179,5248-YGIJN,2026-05-16,90.25,payment,success,Credit card (automatic)
180,5248-YGIJN,2026-06-16,90.25,payment,success,Credit card (automatic)
181,5248-YGIJN,2026-07-16,90.25,payment,success,Credit card (automatic)
182,5248-YGIJN,2026-08-16,90.25,payment,success,Credit card (automatic)
183,8773-HHUOZ,2026-03-16,64.7,failed_payment,failed,Mailed check
184,8773-HHUOZ,2026-04-16,64.7,payment,success,Mailed check
185,8773-HHUOZ,2026-05-16,64.7,payment,success,Mailed check
186,8773-HHUOZ,2026-06-16,64.7,payment,success,Mailed check
187,8773-HHUOZ,2026-07-16,64.7,payment,success,Mailed check
188,8773-HHUOZ,2026-08-16,64.7,payment,success,Mailed check
189,3841-NFECX,2026-03-16,96.35,payment,success,Credit card (automatic)
190,3841-NFECX,2026-04-16,96.35,payment,success,Credit card (automatic)
191,3841-NFECX,2026-05-16,96.35,payment,success,Credit card (automatic)
192,3841-NFECX,2026-06-16,96.35,payment,success,Credit card (automatic)
193,3841-NFECX,2026-07-16,96.35,payment,success,Credit card (automatic)
194,3841-NFECX,2026-08-16,96.35,payment,success,Credit card (automatic)
195,4929-XIHVW,2026-03-16,95.5,payment,success,Credit card (automatic)
196,4929-XIHVW,2026-04-16,95.5,payment,success,Credit card (automatic)
