customer_id,log_month,session_count,avg_session_minutes,feature_adoption_score,last_active_date
7590-VHVEG,2026-03-01,30,32.38,0.712,2026-03-18
7590-VHVEG,2026-04-01,46,42.4,0.728,2026-04-09
7590-VHVEG,2026-05-01,48,15.75,0.723,2026-05-20
7590-VHVEG,2026-06-01,34,56.48,0.583,2026-06-23
7590-VHVEG,2026-07-01,33,21.93,0.767,2026-07-26
7590-VHVEG,2026-08-01,32,51.18,0.789,2026-08-09
5575-GNVDE,2026-03-01,8,27.96,0.853,2026-03-11
5575-GNVDE,2026-04-01,21,33.44,0.669,2026-04-12
5575-GNVDE,2026-05-01,16,49.73,0.726,2026-05-11
5575-GNVDE,2026-06-01,26,22.67,0.598,2026-06-10
5575-GNVDE,2026-07-01,27,28.31,0.754,2026-07-05
5575-GNVDE,2026-08-01,17,11.97,0.687,2026-08-02
3668-QPYBK,2026-03-01,4,30.35,0.165,2026-03-05
3668-QPYBK,2026-04-01,12,12.23,0.195,2026-04-09
3668-QPYBK,2026-05-01,9,18.27,0.13,2026-05-08
3668-QPYBK,2026-06-01,6,24.28,0.2,2026-06-14
3668-QPYBK,2026-07-01,5,4.43,0.089,2026-07-08
3668-QPYBK,2026-08-01,8,19.29,0.21,2026-08-19
7795-CFOCW,2026-03-01,12,26.78,0.341,2026-03-15
7795-CFOCW,2026-04-01,9,8.67,0.258,2026-04-23
7795-CFOCW,2026-05-01,18,20.17,0.168,2026-05-09
7795-CFOCW,2026-06-01,2,8.46,0.331,2026-06-05
7795-CFOCW,2026-07-01,2,27.77,0.28,2026-07-19
7795-CFOCW,2026-08-01,11,12.76,0.345,2026-08-22
9237-HQITU,2026-03-01,0,21.31,0.5,2026-03-23
9237-HQITU,2026-04-01,10,14.75,0.646,2026-04-25
9237-HQITU,2026-05-01,14,10.36,0.507,2026-05-25
9237-HQITU,2026-06-01,2,12.1,0.646,2026-06-24
9237-HQITU,2026-07-01,2,12.35,0.456,2026-07-20
9237-HQITU,2026-08-01,6,10.54,0.387,2026-08-03
9305-CDSKC,2026-03-01,22,13.07,0.697,2026-03-23
9305-CDSKC,2026-04-01,25,15.32,0.629,2026-04-18
9305-CDSKC,2026-05-01,10,9.89,0.597,2026-05-27
9305-CDSKC,2026-06-01,8,12.95,0.543,2026-06-26
9305-CDSKC,2026-07-01,13,1.61,0.404,2026-07-03
9305-CDSKC,2026-08-01,10,5.43,0.389,2026-08-20
1452-KIOVK,2026-03-01,12,25.85,0.36,2026-03-07
1452-KIOVK,2026-04-01,0,16.07,0.287,2026-04-19
